longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,84800.0
-117.13,34.07,34.0,2405.0,541.0,1342.0,514.0,2.8031,86900.0
-116.73,34.52,16.0,1247.0,315.0,433.0,159.0,1.0568,75000.0
-115.57,32.78,29.0,2321.0,367.0,1173.0,360.0,4.0375,86400.0
-117.66,33.5,16.0,1956.0,346.0,862.0,326.0,4.4732,186300.0
-117.25,34.06,23.0,4503.0,1156.0,3264.0,937.0,1.9821,93000.0
-118.37,34.05,35.0,2457.0,552.0,1159.0,523.0,3.0862,345300.0
-122.65,38.4,21.0,1059.0,150.0,400.0,154.0,6.8586,343100.0
-118.17,34.12,37.0,2246.0,481.0,995.0,459.0,4.2944,354700.0
-117.25,32.96,18.0,4773.0,743.0,1970.0,716.0,6.6199,406200.0
-118.2,34.06,46.0,321.0,101.0,401.0,86.0,2.1029,109400.0
-121.37,38.6,35.0,3137.0,544.0,1312.0,549.0,3.788,136800.0
-122.45,37.79,52.0,1734.0,482.0,731.0,429.0,1.4804,425000.0
-122.29,37.89,52.0,2248.0,422.0,870.0,377.0,3.4732,246200.0
-118.03,33.93,22.0,3382.0,800.0,2688.0,784.0,3.875,164700.0
-117.27,33.55,4.0,6112.0,890.0,2088.0,712.0,5.5351,429000.0
-120.45,34.65,25.0,980.0,276.0,896.0,245.0,2.0,87500.0
-122.47,37.76,48.0,2464.0,459.0,1179.0,458.0,4.4946,358600.0
-122.5,37.77,52.0,2739.0,569.0,1312.0,531.0,3.5833,322900.0
-117.16,34.06,33.0,2101.0,468.0,1997.0,412.0,2.8125,117200.0
-118.99,35.4,48.0,1908.0,331.0,789.0,321.0,3.5714,84600.0
-121.38,38.61,27.0,2375.0,537.0,863.0,452.0,3.0086,126900.0
-118.19,33.9,32.0,2762.0,652.0,2677.0,632.0,2.5719,105600.0
-117.02,34.88,18.0,2127.0,443.0,1168.0,401.0,3.0313,80000.0
-119.77,36.79,34.0,2679.0,460.0,1141.0,470.0,3.2642,89600.0
-121.36,38.04,9.0,2167.0,370.0,1290.0,351.0,5.0285,148200.0
-118.12,33.88,40.0,2344.0,571.0,1305.0,544.0,3.1923,191900.0
-118.25,34.01,36.0,879.0,262.0,1034.0,236.0,1.2857,99300.0
-122.43,37.77,52.0,4397.0,1116.0,1939.0,1053.0,2.7587,354500.0
-121.91,37.32,42.0,1067.0,256.0,608.0,280.0,3.0096,180800.0
-118.32,34.04,39.0,2965.0,812.0,2638.0,794.0,2.532,172700.0
-122.29,37.54,41.0,1743.0,349.0,811.0,349.0,4.9464,282400.0
-121.55,39.1,27.0,1783.0,441.0,1163.0,409.0,1.2857,47000.0
-122.56,37.94,36.0,2023.0,242.0,653.0,241.0,10.6272,500001.0
-121.42,38.54,29.0,1407.0,265.0,556.0,235.0,3.0521,108000.0
-119.88,34.43,16.0,1734.0,365.0,962.0,391.0,4.4777,282500.0
-117.94,34.08,34.0,1970.0,476.0,1269.0,406.0,4.064,201200.0
-117.27,34.48,8.0,1794.0,276.0,690.0,271.0,3.662,165300.0
-119.37,36.19,24.0,1306.0,266.0,889.0,276.0,2.4922,66100.0
-122.19,37.76,41.0,921.0,207.0,522.0,159.0,1.2083,72500.0
-121.94,38.02,29.0,5765.0,1170.0,3266.0,1131.0,2.7907,113900.0
-118.55,34.19,36.0,978.0,170.0,475.0,192.0,4.675,222500.0
-117.7,34.08,33.0,4674.0,791.0,2769.0,784.0,4.1448,137300.0
-121.04,37.7,52.0,349.0,59.0,121.0,40.0,3.3036,197500.0
-117.06,32.62,36.0,786.0,125.0,408.0,138.0,3.9167,189700.0
-117.34,33.98,10.0,17286.0,4952.0,9851.0,4616.0,1.7579,103400.0
-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,227100.0
-122.18,37.45,43.0,2061.0,437.0,817.0,385.0,4.4688,460200.0
-119.19,34.15,31.0,4175.0,1004.0,3310.0,954.0,3.1989,185400.0
-122.45,37.71,45.0,2253.0,431.0,1382.0,392.0,4.2562,221600.0
-117.8,33.81,14.0,1206.0,142.0,572.0,149.0,8.847,388700.0
-118.91,34.18,17.0,3220.0,716.0,1381.0,733.0,2.8958,176000.0
-118.48,34.02,30.0,2027.0,609.0,1425.0,562.0,2.2917,330800.0
-118.35,33.87,28.0,2319.0,579.0,1369.0,564.0,3.6169,257000.0
-118.37,34.17,15.0,3327.0,1011.0,2683.0,857.0,2.3784,185400.0
-121.32,38.64,19.0,8501.0,1558.0,3576.0,1467.0,3.6523,158500.0
-122.22,37.36,34.0,1559.0,243.0,600.0,242.0,8.7382,500001.0
-117.96,33.79,36.0,2398.0,403.0,1261.0,402.0,5.2816,221800.0
-118.44,34.28,38.0,1156.0,305.0,1359.0,289.0,2.5147,137100.0
-121.52,39.43,15.0,2119.0,389.0,1079.0,374.0,2.3566,80400.0
-119.2,36.28,22.0,2295.0,508.0,1654.0,478.0,1.684,65900.0
-118.38,34.05,52.0,1004.0,231.0,590.0,226.0,4.2404,351000.0
-122.42,37.75,52.0,1974.0,525.0,935.0,465.0,2.7173,300000.0
-118.76,34.26,26.0,1750.0,284.0,962.0,278.0,4.5673,190400.0
-120.37,40.17,21.0,789.0,141.0,406.0,146.0,2.1198,73500.0
-118.11,33.92,34.0,1414.0,263.0,983.0,264.0,4.1767,156600.0
-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,153600.0
-118.18,34.02,35.0,661.0,142.0,720.0,143.0,2.8977,142500.0
-118.34,33.94,36.0,2796.0,1041.0,4033.0,944.0,2.4886,160700.0
-122.48,37.77,52.0,2556.0,595.0,1202.0,568.0,3.8899,348500.0
-117.73,34.09,36.0,1543.0,297.0,1355.0,303.0,3.5313,117800.0
-118.26,34.15,14.0,2981.0,894.0,1941.0,863.0,3.0,178600.0
-117.22,32.78,22.0,2020.0,466.0,1010.0,429.0,3.4527,175000.0
-121.28,38.55,35.0,7088.0,1279.0,4885.0,1272.0,2.6981,112500.0
-118.3,34.17,37.0,350.0,115.0,342.0,111.0,3.0687,200000.0
-120.24,37.21,31.0,2447.0,465.0,1313.0,352.0,3.3929,93800.0
-122.04,37.26,24.0,4973.0,709.0,1692.0,696.0,7.8627,500001.0
-119.37,36.21,35.0,2228.0,476.0,1567.0,449.0,1.4455,54100.0
-118.15,33.85,36.0,1491.0,259.0,699.0,266.0,4.0781,217300.0
-122.28,37.52,27.0,2958.0,655.0,1285.0,577.0,4.0801,397800.0
-118.19,33.87,42.0,1213.0,269.0,628.0,229.0,3.6987,152100.0
-121.31,38.0,35.0,2097.0,351.0,977.0,358.0,4.3958,108400.0
-119.29,34.31,25.0,1092.0,190.0,702.0,215.0,3.9063,192700.0
-121.45,38.56,52.0,3170.0,476.0,1027.0,457.0,4.63,233800.0
-118.0,33.84,30.0,1549.0,325.0,885.0,299.0,4.0039,195100.0
-117.34,34.11,29.0,2912.0,566.0,2188.0,518.0,3.2656,90600.0
-121.99,38.34,16.0,1470.0,261.0,748.0,256.0,4.0433,132200.0
-121.54,38.54,36.0,1672.0,302.0,969.0,337.0,3.0536,73100.0
-122.43,37.75,52.0,2700.0,595.0,1181.0,575.0,3.575,396800.0
-116.47,33.81,7.0,10105.0,2481.0,6274.0,2095.0,2.4497,90900.0
-117.82,33.85,18.0,1810.0,305.0,1189.0,326.0,5.2227,213500.0
-118.37,33.95,32.0,1067.0,286.0,1053.0,277.0,2.8438,181700.0
-118.42,37.35,21.0,3302.0,557.0,1413.0,520.0,4.375,180400.0
-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,162500.0
-116.89,33.75,23.0,2719.0,538.0,930.0,485.0,2.0154,81700.0
-118.13,33.83,44.0,1710.0,333.0,786.0,344.0,4.2917,314700.0
-119.72,36.8,16.0,2396.0,526.0,1338.0,518.0,2.1653,78800.0
-122.73,38.44,28.0,1073.0,241.0,652.0,238.0,2.4,146200.0
-119.8,36.82,24.0,5377.0,1005.0,2010.0,982.0,3.4542,121200.0
-118.06,33.86,16.0,5603.0,938.0,3045.0,893.0,5.0778,293700.0
-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,138100.0
-116.89,32.67,9.0,2652.0,393.0,1355.0,362.0,6.2578,293100.0
-118.32,34.08,46.0,2038.0,534.0,1250.0,525.0,2.4196,358100.0
-121.48,38.58,52.0,2501.0,757.0,1081.0,708.0,1.5872,157500.0
-122.57,37.98,49.0,2860.0,552.0,1178.0,522.0,4.625,355000.0
-121.83,38.0,15.0,6365.0,1646.0,3838.0,1458.0,2.5495,103600.0
-117.1,32.67,22.0,1690.0,541.0,1669.0,494.0,2.0213,110600.0
-117.81,33.68,8.0,1964.0,413.0,913.0,406.0,5.1583,192200.0
-117.1,32.77,49.0,4449.0,711.0,1606.0,709.0,5.7768,281600.0
-117.31,34.43,16.0,5130.0,1172.0,3126.0,1046.0,1.6784,71900.0
-122.52,37.93,34.0,2782.0,502.0,1219.0,507.0,5.0779,333900.0
-117.93,33.76,17.0,3341.0,803.0,3381.0,825.0,3.371,161800.0
-117.41,34.0,26.0,2372.0,621.0,1647.0,612.0,1.4719,88600.0
-116.45,33.78,16.0,5228.0,992.0,1177.0,639.0,3.0859,134600.0
-123.18,39.26,25.0,3066.0,570.0,1558.0,535.0,3.788,134200.0
-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,73100.0
-118.29,33.92,34.0,1374.0,240.0,906.0,248.0,5.3292,155500.0
-122.09,37.69,20.0,4296.0,817.0,1732.0,800.0,4.8036,188300.0
-121.46,38.54,36.0,1825.0,411.0,1226.0,391.0,1.5292,55700.0
-122.41,37.73,41.0,2115.0,378.0,1168.0,365.0,4.0642,272500.0
-117.44,33.93,34.0,1577.0,272.0,880.0,284.0,4.6327,116000.0
-117.24,32.75,33.0,1980.0,614.0,1057.0,567.0,2.2042,231300.0
-118.64,34.19,33.0,3017.0,494.0,1423.0,470.0,5.6163,248400.0
-118.43,34.01,27.0,3133.0,1021.0,2242.0,1002.0,2.697,412500.0
-117.21,32.8,19.0,786.0,282.0,525.0,229.0,1.7273,137500.0
-117.19,32.8,16.0,2593.0,794.0,1235.0,684.0,3.1304,166300.0
